Date,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-05-01,1,83,50,67.0,51,56,0,2,0.0,29.1,29.82,1.7,27,9.2
2007-05-02,1,59,42,51.0,42,47,14,0,0.0,29.38,30.09,13.0,4,13.4
2007-05-03,1,66,46,56.0,40,48,9,0,0.0,29.39,30.12,11.7,7,11.9
2007-05-04,1,66,49,58.0,41,50,7,0,0.0,29.31,30.05,10.4,8,10.8
2007-05-05,1,66,53,60.0,38,49,5,0,0.0,29.4,30.1,11.7,7,12.0
2007-05-06,1,68,49,59.0,30,46,6,0,0.0,29.57,30.29,14.4,11,15.0
2007-05-07,1,83,47,65.0,41,54,0,0,0.0,29.38,30.12,8.6,18,10.5
2007-05-08,1,82,54,68.0,58,62,0,3,0.0,29.29,30.03,2.7,11,5.8
2007-05-09,1,77,61,69.0,59,63,0,4,0.13,29.21,29.94,3.9,9,6.2
2007-05-10,1,84,56,70.0,52,60,0,5,0.0,29.2,29.92,0.7,17,4.1
2007-05-11,1,70,51,61.0,42,51,4,0,0.0,29.33,30.04,11.3,3,12.9
2007-05-12,1,64,46,55.0,36,46,10,0,0.0,29.49,30.2,12.4,3,12.9
2007-05-13,1,69,43,56.0,33,46,9,0,0.0,29.49,30.24,6.6,14,8.1
2007-05-14,1,90,56,73.0,47,59,0,8,0.0,29.23,29.97,16.9,21,17.3
2007-05-15,1,80,57,69.0,56,61,0,4,0.38,29.13,29.84,8.1,27,12.3
2007-05-16,1,66,44,55.0,43,48,10,0,0.14,29.33,30.03,7.8,36,12.2
2007-05-17,1,62,43,53.0,32,43,12,0,0.0,29.55,30.27,10.5,3,11.3
2007-05-18,1,71,42,57.0,30,46,8,0,0.0,29.53,30.25,5.4,25,7.5
2007-05-19,1,80,56,68.0,39,53,0,3,0.0,29.34,30.08,11.1,24,11.4
2007-05-20,1,69,43,56.0,40,44,9,0,0.07,29.38,30.11,10.4,4,10.7
2007-05-21,1,80,44,62.0,50,56,3,0,0.0,29.33,30.06,6.3,11,8.2
2007-05-22,1,87,55,71.0,46,58,0,6,0.0,29.34,30.06,10.0,18,10.2
2007-05-23,1,89,60,75.0,49,61,0,10,0.0,29.39,30.1,11.4,19,11.8
2007-05-24,1,88,63,76.0,54,63,0,11,0.02,29.41,30.11,14.9,21,17.3
2007-05-25,1,70,56,63.0,44,53,2,0,0.0,29.51,30.24,4.9,5,8.8
2007-05-26,1,65,49,57.0,55,56,8,0,1.01,29.36,30.11,2.8,17,7.2
2007-05-27,1,75,57,66.0,47,56,0,1,0.04,29.34,30.06,8.9,26,9.5
2007-05-28,1,79,50,65.0,47,56,0,0,0.0,29.43,30.15,4.8,10,5.3
2007-05-29,1,88,60,74.0,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5
2007-05-30,1,87,66,77.0,58,65,0,12,0.0,29.31,30.04,10.3,19,10.6
2007-05-31,1,78,65,72.0,61,65,0,7,0.01,29.28,30.0,9.3,19,9.9
2007-06-01,1,85,62,74.0,63,66,0,9,0.19,29.19,29.91,4.2,17,6.4
2007-06-02,1,81,65,73.0,63,67,0,8,0.04,29.03,29.77,6.5,22,7.4
2007-06-03,1,78,62,70.0,60,63,0,5,0.01,28.82,29.56,5.2,25,6.7
2007-06-04,1,71,58,65.0,58,60,0,0,0.39,28.82,29.52,7.8,31,9.7
2007-06-05,1,64,47,56.0,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-06,1,71,44,58.0,48,55,7,0,0.01,29.07,29.81,10.8,17,11.4
2007-06-07,1,91,71,81.0,62,69,0,16,0.0,28.84,29.55,22.7,20,23.1
2007-06-08,1,81,57,69.0,53,61,0,4,0.0,29.18,29.85,10.9,28,13.8
2007-06-09,1,79,52,66.0,47,57,0,1,0.0,29.36,30.07,0.3,33,5.0
2007-06-10,1,81,55,68.0,51,59,0,3,0.0,29.34,30.05,4.8,17,5.6
2007-06-11,1,86,58,72.0,52,61,0,7,0.0,29.41,30.11,4.9,11,6.9
2007-06-12,1,83,62,73.0,50,60,0,8,0.0,29.44,30.16,8.3,5,8.8
2007-06-13,1,87,60,74.0,53,62,0,9,0.0,29.36,30.09,7.2,5,8.6
2007-06-14,1,89,64,77.0,55,64,0,12,0.0,29.3,30.02,5.6,5,6.8
2007-06-15,1,91,63,77.0,56,64,0,12,0.0,29.28,29.99,4.1,6,4.9
2007-06-16,1,93,66,80.0,60,67,0,15,0.0,29.26,29.97,4.8,28,5.8
2007-06-17,1,91,70,81.0,64,70,0,16,0.0,29.23,29.95,2.8,11,6.3
2007-06-18,1,89,69,79.0,65,70,0,14,0.28,29.12,29.84,14.0,20,15.1
2007-06-19,1,80,65,73.0,55,63,0,8,0.58,29.26,29.95,10.7,28,11.4
2007-06-20,1,84,61,73.0,52,61,0,8,0.0,29.39,30.1,7.8,27,8.8
2007-06-21,1,77,61,69.0,51,60,0,4,0.01,29.36,30.08,3.5,3,10.7
2007-06-22,1,76,61,69.0,50,58,0,4,0.0,29.33,30.06,7.8,6,8.7
2007-06-23,1,67,62,65.0,58,61,0,0,0.05,29.23,29.96,7.6,12,9.0
2007-06-24,1,77,63,70.0,62,65,0,5,0.0,29.26,29.97,7.0,9,8.0
2007-06-25,1,89,65,77.0,66,70,0,12,0.0,29.38,30.07,3.9,14,6.8
2007-06-26,1,92,70,81.0,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1
2007-06-27,1,91,71,81.0,70,72,0,16,0.15,29.29,30.02,7.5,24,8.8
2007-06-28,1,74,58,66.0,55,60,0,1,0.0,29.41,30.09,11.9,3,12.5
2007-06-29,1,70,56,63.0,55,59,2,0,0.0,29.41,30.13,7.6,2,8.3
2007-06-30,1,79,54,67.0,46,56,0,2,0.0,29.41,30.13,4.9,3,5.8
2007-07-01,1,75,54,65.0,52,58,0,0,0.0,29.51,30.23,8.6,4,8.6
2007-07-02,1,79,53,66.0,50,58,0,1,0.0,29.49,30.22,5.9,14,8.1
2007-07-03,1,83,60,72.0,57,63,0,7,0.4,29.31,30.06,6.7,21,7.3
2007-07-04,1,86,67,77.0,65,69,0,12,0.16,29.18,29.9,4.6,27,8.2
2007-07-05,1,89,71,80.0,60,67,0,15,0.0,29.24,29.94,6.4,31,8.1
2007-07-06,1,86,66,76.0,57,64,0,11,0.0,29.32,30.03,3.2,5,5.5
2007-07-07,1,90,64,77.0,63,69,0,12,0.0,29.18,29.91,8.4,22,8.6
2007-07-08,1,94,75,85.0,67,72,0,20,0.0,29.05,29.77,12.9,24,13.1
2007-07-09,1,94,70,82.0,66,70,0,17,0.3,29.11,29.8,4.9,24,8.8
2007-07-10,1,89,69,79.0,67,70,0,14,0.43,29.06,29.77,8.6,23,10.5
2007-07-11,1,77,62,70.0,51,59,0,5,0.0,29.23,29.93,8.8,30,10.9
2007-07-12,1,80,61,71.0,51,59,0,6,0.0,29.22,29.93,9.4,29,11.1
2007-07-13,1,78,58,68.0,52,58,0,3,0.0,29.26,29.98,1.4,1,5.3
